Server[0]	PlayerID:793674
Server[1]	PlayerID:763228
Server[2]	PlayerID:091473
Server[3]	PlayerID:413608
Server[4]	PlayerID:000000
Server[5]	PlayerID:000000
Server[6]	PlayerID:000000
Server[7]	PlayerID:000000
Server[8]	PlayerID:000000
Server[9]	PlayerID:000000
Server[10]	PlayerID:000000
Server[11]	PlayerID:000000
Server[12]	PlayerID:000000
Server[13]	PlayerID:000000
Server[14]	PlayerID:000000
Server[15]	PlayerID:000000
Server[16]	PlayerID:000000
Server[17]	PlayerID:000000
Server[18]	PlayerID:000000
Server[19]	PlayerID:000000
